,r,u,phi
60,-0.3969849246231155,0.5873701572418213,0.1932039111852646
61,-0.3869346733668342,0.5899880528450012,0.20056360960006714
62,-0.37688442211055273,0.592464804649353,0.2080688327550888
63,-0.3668341708542714,0.594802737236023,0.21571384370326996
64,-0.35678391959798994,0.5970054268836975,0.22349253296852112
65,-0.3467336683417085,0.599075436592102,0.2313985377550125
66,-0.33668341708542715,0.6010165214538574,0.23942546546459198
67,-0.3266331658291457,0.602832555770874,0.2475660890340805
68,-0.31658291457286436,0.6045269966125488,0.2558130919933319
69,-0.3065326633165829,0.6061036586761475,0.26415932178497314
70,-0.29648241206030146,0.6075673699378967,0.27259671688079834
71,-0.2864321608040201,0.608922004699707,0.281117707490921
72,-0.27638190954773867,0.6101725101470947,0.28971418738365173
73,-0.26633165829145733,0.6113235354423523,0.2983783781528473
74,-0.2562814070351759,0.6123797297477722,0.307102233171463
75,-0.24623115577889443,0.6133463978767395,0.3158775866031647
76,-0.2361809045226131,0.6142280697822571,0.3246963620185852
77,-0.22613065326633164,0.6150301098823547,0.3335506319999695
78,-0.2160804020100502,0.615757167339325,0.34243255853652954
79,-0.20603015075376885,0.6164146661758423,0.3513341546058655
80,-0.1959798994974874,0.6170071959495544,0.360247403383255
81,-0.18592964824120606,0.6175394058227539,0.36916419863700867
82,-0.1758793969849246,0.6180160641670227,0.37807705998420715
83,-0.16582914572864316,0.6184417009353638,0.38697752356529236
84,-0.15577889447236182,0.6188207864761353,0.3958579897880554
85,-0.14572864321608037,0.6191568970680237,0.4047110974788666
86,-0.13567839195979903,0.6194544434547424,0.41353079676628113
87,-0.12562814070351758,0.6197165846824646,0.42231327295303345
88,-0.11557788944723613,0.6199473738670349,0.43105942010879517
89,-0.10552763819095479,0.6201493144035339,0.4397798776626587
90,-0.09547738693467334,0.6203251481056213,0.448501318693161
91,-0.085427135678392,0.6204774975776672,0.45728039741516113
92,-0.07537688442211055,0.6206093430519104,0.46622347831726074
93,-0.0653266331658291,0.6207218170166016,0.4755183458328247
94,-0.055276381909547756,0.6208165884017944,0.4854753315448761
95,-0.045226130653266305,0.6208956241607666,0.4965648055076599
96,-0.035175879396984966,0.6209596395492554,0.5093929171562195
97,-0.025125628140703515,0.6210096478462219,0.5244691967964172
98,-0.015075376884422065,0.6210464239120483,0.5415048003196716
99,-0.005025125628140725,0.6210700273513794,0.5582228302955627
100,0.005025125628140614,0.6210806965827942,0.5698645114898682
101,0.015075376884422065,0.6210786700248718,0.5716856718063354
102,0.025125628140703515,0.6210630536079407,0.5632601976394653
103,0.035175879396984966,0.6210337281227112,0.548775315284729
104,0.045226130653266416,0.6209899187088013,0.5329861640930176
105,0.055276381909547645,0.6209308505058289,0.5184805989265442
106,0.0653266331658291,0.6208553910255432,0.5058706402778625
107,0.07537688442211055,0.6207619309425354,0.49486997723579407
108,0.085427135678392,0.6206495761871338,0.4850006699562073
109,0.09547738693467345,0.6205164790153503,0.47586140036582947
110,0.1055276381909549,0.6203610301017761,0.46717655658721924
111,0.11557788944723613,0.6201813817024231,0.4587765038013458
112,0.12562814070351758,0.6199756264686584,0.4505622684955597
113,0.13567839195979903,0.6197415590286255,0.44247931241989136
114,0.14572864321608048,0.6194770932197571,0.4344981014728546
115,0.15577889447236193,0.6191793084144592,0.42660313844680786
116,0.16582914572864316,0.6188466548919678,0.41878563165664673
117,0.1758793969849246,0.6184758543968201,0.411038875579834
118,0.18592964824120606,0.6180642247200012,0.40335774421691895
119,0.1959798994974875,0.6176091432571411,0.3957366347312927
120,0.20603015075376896,0.617107629776001,0.3881686329841614
121,0.2160804020100502,0.6165565252304077,0.3806471824645996
122,0.22613065326633164,0.6159524917602539,0.37316441535949707
123,0.2361809045226131,0.6152927279472351,0.3657127618789673
124,0.24623115577889454,0.6145733594894409,0.3582843244075775
125,0.256281407035176,0.613791286945343,0.3508719205856323
126,0.2663316582914572,0.6129424571990967,0.34346872568130493
127,0.27638190954773867,0.6120234131813049,0.3360685110092163
128,0.2864321608040201,0.6110302805900574,0.32866576313972473
129,0.29648241206030157,0.6099594235420227,0.32125622034072876
130,0.306532663316583,0.6088063716888428,0.31383660435676575
131,0.31658291457286425,0.6075674295425415,0.3064042031764984
132,0.3266331658291457,0.6062381267547607,0.29895836114883423
133,0.33668341708542715,0.6048144698143005,0.2914983928203583
134,0.3467336683417086,0.6032921671867371,0.28402578830718994
135,0.35678391959799005,0.6016664505004883,0.2765420377254486
136,0.3668341708542713,0.5999333262443542,0.2690504789352417
137,0.37688442211055273,0.5980878472328186,0.26155489683151245
138,0.3869346733668342,0.596126139163971,0.25406011939048767
139,0.39698492462311563,0.5940433144569397,0.24657179415225983
140,0.4070351758793971,0.5918348431587219,0.2390962839126587
141,0.4170854271356783,0.5894961953163147,0.23164041340351105
142,0.42713567839195976,0.5870229601860046,0.22421184182167053
143,0.4371859296482412,0.5844104290008545,0.21681860089302063
144,0.44723618090452266,0.5816547274589539,0.2094689905643463
145,0.4572864321608041,0.578751266002655,0.20217154920101166
146,0.46733668341708534,0.5756958723068237,0.19493542611598969
147,0.4773869346733668,0.57248455286026,0.18776942789554596
148,0.48743718592964824,0.5691133737564087,0.1806824803352356
149,0.4974874371859297,0.5655785202980042,0.17368364334106445
150,0.5075376884422111,0.5618764162063599,0.16678176820278168
151,0.5175879396984926,0.5580036640167236,0.15998521447181702
152,0.5276381909547738,0.5539573431015015,0.1533024162054062
153,0.5376884422110553,0.549734354019165,0.14674147963523865
154,0.5477386934673367,0.5453324317932129,0.14030985534191132
155,0.5577889447236182,0.5407485961914062,0.1340147852897644
156,0.5678391959798996,0.5359813570976257,0.1278628557920456
157,0.5778894472361809,0.5310288667678833,0.12186028808355331
158,0.5879396984924623,0.5258895754814148,0.11601252108812332
159,0.5979899497487438,0.5205624103546143,0.11032470315694809
160,0.6080402010050252,0.5150465965270996,0.104801245033741
161,0.6180904522613067,0.5093421936035156,0.09944606572389603
162,0.6281407035175879,0.5034481883049011,0.09426239877939224
163,0.6381909547738693,0.49736565351486206,0.08925285935401917
164,0.6482412060301508,0.49109452962875366,0.08441955596208572
165,0.6582914572864322,0.48463594913482666,0.07976387441158295
166,0.6683417085427137,0.47799116373062134,0.07528738677501678
167,0.6783919597989949,0.4711613953113556,0.07098966836929321
168,0.6884422110552764,0.46414774656295776,0.06687112152576447
169,0.6984924623115578,0.45695289969444275,0.06293130666017532
170,0.7085427135678393,0.44957849383354187,0.059168796986341476
171,0.7185929648241207,0.4420262277126312,0.05558249354362488
172,0.728643216080402,0.4342993497848511,0.05217038094997406
173,0.7386934673366834,0.4263996481895447,0.048930369317531586
174,0.7487437185929648,0.41832950711250305,0.04585978761315346
175,0.7587939698492463,0.41009122133255005,0.042955830693244934
176,0.7688442211055277,0.401687353849411,0.040215276181697845
177,0.778894472361809,0.39312100410461426,0.037635039538145065
178,0.7889447236180904,0.38439348340034485,0.035211436450481415
179,0.7989949748743719,0.37550729513168335,0.03294039145112038
180,0.8090452261306533,0.36646461486816406,0.03081819787621498
181,0.8190954773869348,0.35726749897003174,0.028841160237789154
182,0.829145728643216,0.3479176461696625,0.027004709467291832
183,0.8391959798994975,0.33841654658317566,0.02530445158481598
184,0.8492462311557789,0.3287658393383026,0.02373654581606388
185,0.8592964824120604,0.3189665675163269,0.022296225652098656
186,0.8693467336683418,0.30902016162872314,0.020979220047593117
187,0.879396984924623,0.29892754554748535,0.01978149078786373
188,0.8894472361809045,0.2886892557144165,0.018698304891586304
189,0.8994974874371859,0.27830642461776733,0.017725329846143723
190,0.9095477386934674,0.26777926087379456,0.016858359798789024
191,0.9195979899497488,0.25710856914520264,0.016093039885163307
192,0.9296482412060301,0.2462945133447647,0.015425055287778378
193,0.9396984924623115,0.23533807694911957,0.014850610867142677
194,0.949748743718593,0.22423958778381348,0.014365560375154018
195,0.9597989949748744,0.212999626994133,0.013965468853712082
196,0.9698492462311559,0.20161913335323334,0.013646936044096947
197,0.9798994974874373,0.19009821116924286,0.013405722565948963
198,0.9899497487437185,0.17843946814537048,0.013238613493740559
199,1.0,0.1666431874036789,0.013141678646206856
